474,27803,3.0,"","","","Sea Inside, The (Mar adentro) (2004)"
475,41566,5.0,"","","","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
476,215,4.0,"","","",Before Sunrise (1995)
477,6283,4.5,"","","",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
477,68319,3.5,"","",1262795886,X-Men Origins: Wolverine (2009)
477,68319,3.5,"","",1241938912,X-Men Origins: Wolverine (2009)
477,68319,3.5,"","",1262795892,X-Men Origins: Wolverine (2009)
477,68319,3.5,"","",1262795891,X-Men Origins: Wolverine (2009)
477,68319,3.5,"","",1241941484,X-Men Origins: Wolverine (2009)
478,34048,2.0,"","","",War of the Worlds (2005)
480,2194,3.5,"","","","Untouchables, The (1987)"
480,3100,3.0,"","","","River Runs Through It, A (1992)"
480,3897,5.0,"","","",Almost Famous (2000)
480,4508,3.5,"","","",Gorillas in the Mist (1988)
480,5995,5.0,"","","","Pianist, The (2002)"
480,8874,4.0,"","","",Shaun of the Dead (2004)
482,2792,4.0,"","","",Airplane II: The Sequel (1982)
483,150,2.0,"","","",Apollo 13 (1995)
483,953,4.0,"","","",It's a Wonderful Life (1946)
483,88129,4.0,"","","",Drive (2011)
488,971,2.5,"","","",Cat on a Hot Tin Roof (1958)
489,35836,3.0,"","","","40-Year-Old Virgin, The (2005)"
489,81591,5.0,"","","",Black Swan (2010)
491,5299,3.5,"","","",My Big Fat Greek Wedding (2002)
491,104211,4.0,"","","",We're the Millers (2013)
495,6870,4.5,"","","",Mystic River (2003)
495,46970,3.5,"","","",Talladega Nights: The Ballad of Ricky Bobby (2006)
495,49530,4.5,"","","",Blood Diamond (2006)
498,356,5.0,"","","",Forrest Gump (1994)
500,2683,3.0,"","","",Austin Powers: The Spy Who Shagged Me (1999)
500,3355,5.0,"","","","Ninth Gate, The (1999)"
501,662,3.0,"","","",Fear (1996)
503,93270,0.5,"","","",Project X (2012)
509,3615,3.0,"","","",Dinosaur (2000)
510,34405,0.5,"","","",Serenity (2005)
514,5247,2.5,"","","",Smokey and the Bandit (1977)
517,102407,3.0,"","","","Great Gatsby, The (2013)"
521,32,3.0,"","","",Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
522,6283,4.0,"","","",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
